FD_Name,State,Region,Member_Status,File_Name,Respondent ID,Date,Week,Transaction_Nature,Transaction_Type,Transaction_Category1,Transaction_Name,Transaction_Amount,Transaction_Comment,Formatted_Date
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Income,Business,Income from her hair dressing shop (woman),16800.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Income,Business,Income from husband’s tricycle business (Man),30300.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Woman Personal,Breakfast,4550.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Woman Personal,Lunch,3650.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Household,Dinner,11250.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Household,Pampers,1020.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Children,Baby Food,1920.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Household,Cost of water for household activities and bathing,440.0,"This is water from a public borehole that is generally not fit for drinking but used for household activities like cooking, bathing, washing, etc.",23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Household,Cost of Sachet Water for Household Drinking (Pure Water),250.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Business,Daily Transportation cost for the week,1050.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Children,Biscuits for the baby,550.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Household,Carbonated drink (Coca Cola),500.0,She got cold carbonated drink she had with some of the biscuits she bought.,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Woman Personal,Tricycle maintenance/repairs,5000.0,Cost of maintaining husband’s tricycle.,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Household,Candy (Sweets),50.0,Bought to pacify her baby when she was crying.,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Children,Chin-Chin (snack),100.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Children,Baby drinking water,100.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Household,Ice Cream,100.0,Bought for the baby,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Business,Exercise book for financial records in the shop.,100.0,,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Variable,Expenditure,Household,Bread,350.0,Household use.,23/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Income,Business,Income from her hair dressing shop (woman),16800.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Income,Business,Income from husband’s tricycle business (Man),30300.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Woman Personal,Breakfast,4550.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Woman Personal,Lunch,3650.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Household,Dinner,11250.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Household,Pampers,1020.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Children,Baby Food,1920.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Household,Cost of water for household activities and bathing,440.0,"This is water from a public borehole that is generally not fit for drinking but used for household activities like cooking, bathing, washing, etc.",16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Household,Cost of Sachet Water for Household Drinking (Pure Water),250.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Business,Daily Transportation cost for the week,1050.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Fixed,Expenditure,Children,Biscuits for the baby,550.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Household,Carbonated drink (Coca Cola),500.0,She got cold carbonated drink she had with some of the biscuits she bought.,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Woman Personal,Tricycle maintenance/repairs,5000.0,Cost of maintaining husband’s tricycle.,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Household,Candy (Sweets),50.0,Bought to pacify her baby when she was crying.,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Children,Chin-Chin (snack),100.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Children,Baby drinking water,100.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Household,Ice Cream,100.0,Bought for the baby,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Business,Exercise book for financial records in the shop.,100.0,,16/12/2021
Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_23_12_2021.docx,BL03-NWAG-OBINGWA-WK 3,16th December 2021,3,Variable,Expenditure,Household,Bread,350.0,Household use.,16/12/2021
