FD_Name,State,Region,Member_Status,File_Name,Respondent ID,Date,Week,Transaction_Nature,Transaction_Type,Transaction_Name,Transaction_Amount,Transaction_Comment
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Income,Income from her hair dressing shop (woman),"₦ 16, 800"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Income,Income from husband’s tricycle business (Man),"₦ 30,300"
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Breakfast,"₦ 4,550",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Lunch,"₦ 3,650",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Dinner,"₦ 11,250",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Pampers,"₦ 1,020",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Baby Food,"₦ 1,920",
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Cost of water for household activities and bathing,₦ 440,"This is water from a public borehole that is generally not fit for drinking but used for household activities like cooking, bathing, washing, etc."
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Cost of Sachet Water for Household Drinking (Pure Water),₦ 250,
Baseline Financial Diaries_1,Abia Baseline,OBINGWA,NON WAG,Abia_FD_IDI_Female_Non-Women Group Member_Ward II_Obingwa LGA__Weekly_30_12_2021.docx,BL03-NWAG-OBINGWA-WK 4,23RD December 2021,4,Fixed,Expenditure,Daily Transportation cost for the week,"₦ 1,050",
