,FD_Name,State,Region,Member_Status,File_Name,Respondent_ID,Date,Week,Transaction_Nature,Transaction_Type,Transaction_Category1,Transaction_Name,Transaction_Amount,Transaction_Comment
0,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Fixed,Income,Business,Income,118556,
1,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Fixed,Income,Business,Income,143082,
2,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Fixed,Expenditure,Woman Personal,Breakfast,112617,
3,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Fixed,Expenditure,Woman Personal,Lunch,52782,
4,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Fixed,Expenditure,Household,Dinner,95287,
5,Midline Financial Diaries,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Fixed,Expenditure,Household,Pampers,117869,
6,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Fixed,Expenditure,Children,Baby,67558,
7,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Fixed,Expenditure,Household,Cost,130575,This
8,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Fixed,Expenditure,Household,Cost,56478,
9,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Fixed,Expenditure,Business,Daily,163311,
10,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Fixed,Expenditure,Children,Biscuits,84066,
11,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Variable,Expenditure,Household,Carbonated,126098,She
12,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Variable,Expenditure,Woman Personal,Tricycle,7881,Cost
13,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Variable,Expenditure,Household,Candy,109398,Bought
14,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Variable,Expenditure,Children,Chin-Chin,68460,
15,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Variable,Expenditure,Children,Baby,16621,
16,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Variable,Expenditure,Household,Ice,119340,Bought
17,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Variable,Expenditure,Business,Exercise,74101,
18,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/23/21,BL03-NWAG-OBINGWA-WK 4,12/23/21,4,Variable,Expenditure,Household,Bread,166187,Household
19,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Fixed,Income,Business,Income,43721,
20,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Fixed,Income,Business,Income,21221,
21,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Fixed,Expenditure,Woman Personal,Breakfast,8350,
22,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Fixed,Expenditure,Woman Personal,Lunch,98402,
23,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Fixed,Expenditure,Household,Dinner,50444,
24,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Fixed,Expenditure,Household,Pampers,150265,
25,Baseline Financial Diaries_2,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Fixed,Expenditure,Children,Baby,77926,
26,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Fixed,Expenditure,Household,Cost,134448,This
27,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Fixed,Expenditure,Household,Cost,25235,
28,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Fixed,Expenditure,Business,Daily,64793,
29,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Fixed,Expenditure,Children,Biscuits,129017,
30,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Variable,Expenditure,Household,Carbonated,18406,She
31,Baseline Financial Diaries_1,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Variable,Expenditure,Woman Personal,Tricycle,22533,Cost
32,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Variable,Expenditure,Household,Candy,5905,Bought
33,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Variable,Expenditure,Children,Chin-Chin,124917,
34,Baseline Financial Diaries_1,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Variable,Expenditure,Children,Baby,26001,
35,Baseline Financial Diaries_2,abia,obi ngwa,NON WAG,abia-obi ngwa-NON WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Variable,Expenditure,Household,Ice,174481,Bought
36,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Variable,Expenditure,Business,Exercise,44786,
37,Midline Financial Diaries,abia,obi ngwa,WAG,abia-obi ngwa-WAG-12/16/21,BL03-NWAG-OBINGWA-WK 3,12/16/21,3,Variable,Expenditure,Household,Bread,163256,Household
